study,date,researcher,country,site,religion,subject_id,subject_gender,subject_age,subject_job,subject_schedule,subject_livedhere,subject_lang,subject_marital,subject_hs,subject_liveswith,servicesperweek,specialrole,hurtwfeelings_anger,hurtwthoughts_anger,healtheffectbyproxy_anger,hurtviaspirit_anger,helpwthoughts_caring,helpviaspirit_caring,healtheffectbyproxy_caring,hurtwfeelings_envy,hurtwthoughts_envy,hurtviaspirit_envy,thoughtsharmppldirectly,spiritsusethoughtsharm,childexp_abs,forgetsurrounding_abs,poeticlanguage_abs,starepicture_abs,mindenvelopworld_abs,cloudshapes_abs,vividdaydream_abs,mysticalexp_abs,stepoutsidemyself_abs,textures_abs,doublyreal_abs,caughtupinmusic_abs,heavybody_abs,sensepresence_abs,woodfireimagine_abs,immersednature_abs,colormeaning_abs,wanderthoughtstask_abs,clearpastexp_abs,meaninglesstoothers_abs,actinginplay_abs,visualthoughts_abs,delightsmallthings_abs,organmusic_abs,changenoise_abs,vividsmellmemories_abs,synesthesiasound_abs,predictwords_abs,physicalmemories_abs,fascinatingvoice_abs,invisiblepresence_abs,sponthoughtsimages_abs,synesthesiasmell_abs,emosunset_abs,godviapeople,godviascript,godviamind,godvoxaloud,godcommpics,godviavisions,godviadreams,godguideviaknowing,godguideviasensations,godviabodyexperiences,godsenseplaceinbody,godviatouch,godviasmell,neartangiblegod,presencenotgod,presencedemon,beingentbody,seehearnotgod,whitelight,trmblshakespirtpwr,rushofspiritpwr,intenseemospiritpwr,timeslowpray,mindspiritexitbody,humanshapeshift,spiritbeingencounter,sleepparalysis,voxwhenalone,seethingscornereye
study 1,2017-07-18,VDzokoto,Ghana,rural,charismatic,99011,Female,29,Temporary Teacher,7,9 years,"Fante, English, Twi",Widowed Woho kafo efi mu,Yes Nyew,Mother Maame (nna),43228,1,2,3,1,2,0,3,1,3,1,1,1,2,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1
study 1,2017-10-07,JBrahinsky,US,rural,local,99012,Male,22,Kstudent,NA,14,Eng,Single,Yes,Mother,0.5,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
study 1,2017-03-19,Faulino,Thailand,urban,local,99013,Female,40,Unstable hours,Business Prof,30+ Years,Thai,"Divorced,Single",Yes,Lives alone,2 X/ Month,0,0,0,0,1,1,1,0,2,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
study 1,2017-04-27,Jdulin,Ghana,urban,local,99014,Female,50,Traditionalist,1hr &40mins Daily,1year &6months,Ga &fante,Divorced,No,Child,14,1,1,1,2,2,2,2,3,2,1,3,2,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1
study 1,2017-04-28,Emng,China,rural,charismatic,99015,Female,63,None,None,43 Years,Henan Dialect,Married,No,"Child,Other relatives",2+,1,3,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
study 1,2017-04-28,Faulino,Thailand,urban,charismatic,99016,Female,26,Unstable hours,Recently Quit. Reception,20+ Yrs,Northern & Thai,Single,Yes,"Mother,Sibling(s),Grandparent(s)",2,0,3,0,2,NA,3,NA,NA,3,0,1,1,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,NA,0,1,1,0
study 1,2018-03-20,Emng,China,urban,local,99017,Male,39,IT,Stable,Since College,Rural Jiangxi Dialect,Married,Yes,Spouse,Very Rarely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
study 1,2017-04-26,JBrahinsky,US,rural,charismatic,99018,Male,38,Photo Voltaic Design Construction Mgt,43317,28,Eng,Married,Yes,"Spouse,Multiple children",1,1,2,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.5,1
study 1,2017-03-02,Faulino,Thailand,urban,charismatic,99019,Male,39,Unstable hours,Business,18 Years,Thai,Married,Yes,"Multiple children,Spouse",5,1,3,1,0,0,3,0,2,0,0,0,1,2,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,NA,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
study 1,2017-01-30,Jdulin,Ghana,urban,charismatic,99020,Female,29,Secretary,40,Ten Years,Fanti Ga,Single,Yes,Mother,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0
study 1,2017-07-15,VDzokoto,Ghana,rural,local,99021,Female,40,"Okomfo, Farmer",Varies,40 Years,Fante,Widowed Woho kafo efi mu,No Oho/ dabi,Other relatives Ebusuafo,Not Applicable,1,2,NA,NA,NA,NA,1,1,3,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,NA,0,0,0,0,NA,0,0,NA,NA,1,1,0,NA,0,NA,NA,NA,NA,NA,0.5,0,NA,0,0,0
study 1,2017-05-03,Jdulin,Ghana,urban,local,99022,Female,27,Traditionalist And Trader,27,27,Fante,Divorced,No,Lives with over 5 people,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
study 1,2017-04-17,Faulino,Thailand,rural,local,99023,Male,30,Unstable hours,Events,"From Here, Back5-6years",Northern,Married,Yes,"Spouse,Other relatives",N/A,0,0,1,0,0,3,1,3,2,0,2,0,3,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
study 1,2017-02-22,Rsmith,Vanuatu,urban,local,99024,Male,31,Agriculture Officer,Full Time,19,"Bislama,malo",Maret finis (Married),Yes,"man o woman blong yu (Spouse),sam pikinini (Multiple children)","Sunday School, Sunday Twice A Week",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.5,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0.5,1,1,0,1
study 1,2017-07-15,VDzokoto,Ghana,rural,local,99025,Male,40,"Hunter, Driver, Obrafo",Varies,1 Year,Fante,Divorced Egyae aware,No Oho/ dabi,Other relatives Ebusuafo,Not Applicable,1,2,2,2,2,2,2,1,3,2,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1
study 1,2017-02-28,Jdulin,Ghana,urban,charismatic,99026,Male,33,Engineer,50,4,Twi,Married,Yes,"Spouse,Child",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
study 1,2017-03-07,Emng,China,urban,charismatic,99027,Male,36,Film Production And Investment,"Unsteady, Loose Schedule",11,Henan Dialect,Single,Yes,Friends/roommates,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,NA,NA,1,0,0,0,0,1,0,0,0,0,1,NA,1,1,0,0,0,0,0,0
study 1,2017-04-21,Jdulin,Ghana,urban,local,99028,Female,73,Traditional Birth Attendant,6hours Per Day. Occasiona,73,"Fante,Ewe,English",Divorced,Yes,"Multiple children,Other relatives",One,1,2,2,2,2,0,2,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1
study 1,2017-02-19,JBrahinsky,US,rural,charismatic,99029,Male,42,Teacher,730-330,28,Eng,Married,Yes,"Spouse,Multiple children",1,0,2,0,1,1,0,2,2,0,0,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0.5,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1
study 1,2017-03-06,Rsmith,Vanuatu,urban,charismatic,99030,Female,27,Healer (first Hotel),All The Time At Church,10,"Ake,ssanto",Singel (Single),Yes,"i bitim 5 (Lives with over 5 people),"" sam fren (olsem ol fren long skul) [Friends, like school friends] (Friends/roommates)""",Everyday,1,2,3,2,1,0,NA,NA,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0
study 1,2017-02-26,Rsmith,Vanuatu,urban,local,99031,Male,54,School Based Management,Normal Hours,16 Yia,Nakanamanga Pele,Maret finis (Married),Yes,"man o woman blong yu (Spouse),sam pikinini (Multiple children)",13 Years,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
study 1,2017-10-08,JBrahinsky,US,urban,charismatic,99032,Male,45,Software Cinsulting,43348,5,Kanada And Tamil,Married,Yes,Spouse,2,NA,0,0,2,NA,0,2,0,NA,0,2,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0.5,0,0,0,0,0
study 1,2017-01-30,Jdulin,Ghana,urban,charismatic,99033,Female,41,Internal Revenue Service,40,10 Years,Fanti,Divorced,Yes,"Child,Friends/roommates",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
study 1,2017-07-14,Rsmith,Vanuatu,urban,local,99034,Female,26,"Teller, Currency Exchange",Full Time,Full Life,"Bislama, Santo, Namakura",Blokem gel (Engaged),Yes,"stret mama (Mother),gelfren o boyfren (Partner), brata o sista (Sibling(s))","Sunday, 2 Youth Meetings",1,1,0,2,2,0,2,2,3,0,2,0,2,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,NA,1,1,0,0,0,1,0.5,0,1,1,1,0,1,0,0,1,1,1,1,1
study 1,2017-02-25,Faulino,Thailand,urban,local,99035,Female,37,"Mom, Seller, Researcj",Viariable,19 Years,Northern And Central Thai,Married,Yes,"Child,Spouse,Other relatives",1/month,0,1,1,1,1,1,0,2,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0.5,0,0,0,1,1,1,0.5,NA,1,0,0
study 1,2017-08-17,Rsmith,Vanuatu,rural,local,99036,Male,40,NA,NA,Whole Life,Sa,Maret finis (Married),No schooling,"sam pikinini (Multiple children),man o woman blong yu (Spouse)",NA,1,1,0,2,1,0,1,3,3,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0.5,1,0,1,1
study 1,2018-03-29,JBrahinsky,US,urban,local,99037,Male,26,Teacher,43316,26,Eng,Married,Yes,Spouse,1,1,2,0,0,0,NA,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
study 1,2017-04-26,JBrahinsky,US,rural,local,99038,Female,36,KnitwAre Designer/community Calendar,Unstable,22,Eng,Married,Yes,"Spouse,Multiple children",1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0.5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.5,0,1,0,0
study 1,2017-04-20,Emng,China,urban,charismatic,99039,Female,34,Administrative Consulting,Stable,6-7 Years,Mandarin,Single,Yes,"Father,Mother",3,1,1,0,NA,1,0,0,NA,3,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
study 1,2017-01-30,Jdulin,Ghana,urban,charismatic,99040,Male,31,Ghana Audit Service,45,5,Ga,Married,Yes,"Child,Spouse",2,1,3,3,1,1,1,1,1,1,NA,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0
study 1,2017-08-17,Rsmith,Vanuatu,rural,local,99041,Male,50,NA,NA,Wwhole Life,Sa Bunlap,Maret finis (Married),No schooling,"man o woman blong yu (Spouse),sam pikinini (Multiple children)",NA,1,2,0,2,2,NA,2,2,2,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
study 1,2017-03-11,Faulino,Thailand,urban,local,99042,Female,28,Unstable hours,Agricult Research,3 Years,Northeastern Thai,Single,Yes,Lives alone,5 X Year,0,1,1,1,0,2,0,2,3,0,1,0,NA,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
study 1,2017-08-25,VDzokoto,Ghana,rural,local,99043,Female,38,"Okomfo, Farmer, Retailer","8-3, 7 Days A Week",8 Years,Fante,Divorced Egyae aware,No Oho/ dabi,Multiple children Menye mbofra pii tse,2,1,1,1,1,1,1,2,3,2,1,2,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
study 1,2018-03-21,JBrahinsky,US,urban,charismatic,99044,Female,37,Officpe Mgr,630-4,NA,Eng,Married,Yes,"Multiple children,Spouse",2,0,3,0,0,3,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0
study 1,2018-03-28,JBrahinsky,US,urban,local,99045,Male,30,Robitics Engineer,9-5+,5,Eng,Married,Yes,Spouse,0,0,1,0,1,1,0,1,NA,0,0,0,1,2,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,1
study 1,2017-02-01,Jdulin,Ghana,urban,charismatic,99046,Male,40,Administration Medical,56,Born Here Went To Lond 12,Fanti,Married,Yes,Child,3,1,1,1,1,3,2,2,2,1,1,1,1,2,1,1,0,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
study 1,2017-08-18,Emng,China,rural,local,99047,Male,34,Chinese Medical Massage,Regular,Born And Raised,Henanese,Married,Yes,"Child,Spouse",Not Weekly,1,1,3,0,3,1,2,NA,1,3,1,3,2,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,NA,1,0,1,0,1,1,1,1,1,1,NA,0,1,0,0
study 1,2017-04-04,Rsmith,Vanuatu,urban,charismatic,99048,Female,36,Housewife,N/a,12y,"Nakanamanga, Tongoa. Emae",Maret finis (Married),No,"man o woman blong yu (Spouse),sam pikinini (Multiple children),aotsaet family (Other relatives)",3,1,2,NA,1,1,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,NA,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0.5,1,1,1,1
study 1,2017-10-08,JBrahinsky,US,urban,local,99049,Female,55,Teacher,43286,23,Eng,Married,Yes,Spouse,1,1,2,0,0,0,NA,NA,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0.5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
